url, country,official_language,english_speaking, language, description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/bosnia-and-herzegovina/,Bosnia and Herzegovina,0,0," ""Bosnian (official) 52.9%", Serbian (official) 30.8%, Croatian (official) 14.6%, other 1.6%," no answer 0.2% (2013 est.)"""," "" <br>Knjiga svjetskih činjenica", neophodan izvor osnovnih informacija. (Bosnian)<br><br>Knjiga svetskih činjenica, neophodan izvor osnovnih informacija. (Serbian)<br><br>Knjiga svjetskih činjenica, nužan izvor osnovnih informacija. (Croatian)<br><br>The World Factbook," the indispensable source for basic information.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/botswana/,Botswana,1,0," ""Setswana 77.3%", Sekalanga 7.4%, Shekgalagadi 3.4%, English (official) 2.8%, Zezuru/Shona 2%, Sesarwa 1.7%, Sembukushu 1.6%, Ndebele 1%," other 2.8% (2011 est.)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/brazil/,Brazil,0,0," ""Portuguese (official and most widely spoken language); less common languages include Spanish (border areas and schools)", German, Italian, Japanese, English," and many minor Amerindian languages"""," "" <br>O Livro de Fatos Mundiais", a fonte indispensável para informação básica. (Brazilian Portuguese)<br><br>The World Factbook," the indispensable source for basic information.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/british-virgin-islands/,British Virgin Islands,1,1," ""English (official)"," Virgin Islands Creole""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/brunei/,Brunei,0,1," ""Malay (Bahasa Melayu) (official)", English," Chinese dialects"""," "" <br>Buku Fakta Dunia", sumber yang diperlukan untuk maklumat asas. (Malay)<br><br>The World Factbook," the indispensable source for basic information.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/bulgaria/,Bulgaria,0,0," ""Bulgarian (official) 77.3%", Turkish 7.9%, Romani 3.5%, other 1%," unspecified 10.4% (2021 est.)"""," "" <br>Светoвен Алманах", незаменимият източник за основна информация. (Bulgarian)<br><br>The World Factbook," the indispensable source for basic information.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/burkina-faso/,Burkina Faso,0,0," ""Mossi 52.9%", Fula 7.8%, Gourmantche 6.8%, Dyula 5.7%, Bissa 3.3%, Gurunsi 3.2%, French (official) 2.2%, Bwamu 2%, Dagara 2%, San 1.7%, Marka 1.6%, Bobo 1.5%, Senufo 1.5%, Lobi 1.2%," other 6.6% (2019 est.)""",,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/burma/,Burma,0,0," ""Burmese (official)"""," "" <br>ကမ္ဘာ့အချက်အလက်စာအုပ်- အခြေခံအချက်အလက်တွေအတွက် မရှိမဖြစ်တဲ့ အရင်းအမြစ် (Burmese)<br><br>The World Factbook"," the indispensable source for basic information.""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/burundi/,Burundi,0,0," ""Kirundi (official)", French (official), English (official, least spoken)," Swahili (2008 est.)"""," "" <br>Igitabo Mpuzamakungu c'ibimenyetso bifatika", isoko ntabanduka ku nkuru z'urufatiro. (Kirundi)<br><br>The World Factbook," the indispensable source for basic information.""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/cabo-verde/,Cabo Verde,0,0," ""Portuguese (official)"," Crioulo (a Portuguese-based creole language with two main dialects)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/cambodia/,Cambodia,0,0," ""Khmer (official) 95.8%", minority languages 2.9%, Chinese 0.6%, Vietnamese 0.5%," other 0.2% (2019 est.)"""," "" <br>សៀវភៅហេតុការណនៅលើពិភពលោក។ ទីតាំងពត៏មានមូលដានគ្រឹះយាងសំខាន់។. (Khmer)<br><br>The World Factbook"," the indispensable source for basic information.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/cameroon/,Cameroon,1,1," ""24 major African language groups", English (official)," French (official)"""," "" <br>The World Factbook", the indispensable source for basic information. (English)<br><br>The World Factbook," une source indispensable d'informations de base. (French)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
