"paper_id","year","outbound_citations","inbound_citations"
55326199,2011,6,0
55326212,2006,17,0
55326275,2014,0,0
55329112,2017,27,1
24380054,2010,29,12
24381282,2017,0,0
24381718,2005,34,41
24382671,2004,19,0
24383111,2011,47,8
24383651,2004,16,8
24384139,2011,18,7
24385653,2001,16,53
24386134,2007,13,0
24386225,2016,43,1
24386931,2010,39,28
24387750,2016,53,3
24388968,2008,49,15
24389491,2004,11,6
28800234,2002,9,7
28802613,2013,29,1
28803193,2004,11,24
28804502,2002,41,19
28806267,2011,27,0
28808378,2005,25,38
144960692,2013,0,4
144964845,2007,9,2
144967419,2013,1,1
144969390,2011,34,1
27414119,2015,22,5
27415937,2017,110,5
27416415,2008,16,3
27416671,2008,88,0
27416955,2017,39,0
27417408,2017,0,3
27417980,2004,7,1
27418335,2008,19,15
157550031,2017,0,1
157552021,2015,43,2
157552047,2017,16,0
45781830,2011,49,4
45782070,2015,5,0
45782495,2015,3,0
45786666,2007,0,1
45788927,2015,7,0
213365851,2020,14,0
213369507,2019,1,0
213369984,2019,9,0
158840075,2017,19,3
158840355,2018,49,0
158847438,2018,28,2
158849950,2017,0,0
2921063,2015,7,3
2922234,2013,35,6
2923240,2017,60,3
2923376,2007,0,0
2923395,2005,3,10
2923584,2005,19,0
2923896,2013,20,4
2924297,2009,13,22
2924798,2013,38,25
2925218,2005,27,25
2925515,2006,7,0
2925746,2004,23,4
2925905,2005,0,0
2926186,2001,32,2
2926711,2004,1,2
2927773,2012,54,120
2928336,2004,23,23
2928820,2004,36,12
2929536,2016,34,7
2929973,2005,1,16
22000606,2002,32,28
22000610,2014,0,2
22001066,2013,26,5
22001241,2016,53,1
22001539,2009,15,3
22003242,2017,25,2
22004363,2015,66,37
22004897,2012,18,0
22006026,2002,39,3
22006135,2003,15,0
22006156,2016,11,18
22006282,2008,36,8
22007961,2005,25,30
22009335,2017,40,9
22009587,2005,8,0
147760581,2016,5,1
39711191,2004,1,2
39711789,2006,0,2
39712082,2015,0,0
39713387,2014,19,3
39717042,2015,15,0
39717245,2006,0,49
39717504,2004,19,23
39719858,2005,10,2
91666890,2018,41,4
158210924,2018,5,0
158213082,2018,16,1
158214167,2017,0,0
158216288,2014,1,0
158218476,2018,34,4
19010370,2015,54,49
19010721,2009,38,8
19010909,2005,37,42
19011258,2014,30,0
19011461,2014,24,3
19011470,2009,8,1
19011539,2014,36,60
19011594,2013,15,5
19011937,2001,4,0
19012547,2016,43,8
19012667,2011,40,6
19012857,2016,25,0
19013201,2017,36,19
19013216,2015,26,14
19015249,2014,53,13
19015376,2015,35,0
19015794,2009,1,1
19016781,2006,60,439
19017214,2015,8,0
19017869,2016,46,0
19017991,2015,12,3
19018264,2006,0,15
19018936,2008,29,46
19019000,2015,12,7
19019531,2003,36,25
152994973,2004,7,0
152996589,2006,0,1
152997167,2004,0,0
152997735,2013,15,0
152997774,2016,31,3
152998728,2008,0,0
28782018,2017,48,8
28783311,2015,15,0
28783777,2014,6,2
28785385,2011,0,139
28786680,2009,6,0
40373600,2008,34,84
40377167,2017,35,1
291018,2011,0,0
291779,2017,34,9
291979,2009,34,22
292577,2016,41,4
293045,2013,10,0
294540,2008,3,3
294773,2004,58,28
295529,2012,14,0
295689,2013,42,4
295866,2001,28,4
296377,2015,26,0
296715,2004,23,290
297480,2014,72,6
297709,2009,20,0
297871,2016,22,2
298552,2005,287,41
299647,2006,15,170
18600560,2011,22,2
18601037,2003,70,0
18601508,2007,13,0
18602892,2007,33,80
18603147,2015,18,0
18603161,2015,14,1
18604350,2013,36,29
18604684,2015,60,19
18605410,2015,32,10
18605844,2016,52,7
18605922,2015,7,6
18606642,2002,66,27
18606650,2012,26,0
18609134,2011,37,27
28670287,2015,11,0
28671071,2007,9,0
28671173,2016,10,3
28671848,2009,13,0
28672069,2014,19,3
28673754,2018,67,15
28675819,2009,57,1
28677698,2007,6,0
42260010,2011,0,0
42262916,2005,4,5
42264867,2013,51,4
42265254,2009,6,5
42265769,2014,32,1
42266379,2002,14,0
42267853,2002,8,10
42269644,2013,0,0
850284,2009,36,17
850452,2006,6,5
850777,2012,10,14
850916,2014,19,16
851881,2008,37,8
852035,2013,6,7
852681,2014,18,6
854069,2005,23,10
854201,2015,19,4
855012,2008,45,28
855265,2003,20,16
857262,2009,23,105
857688,2013,57,13
857825,2011,42,20
857869,2014,36,11
857890,2005,2,4
858074,2009,25,6
858602,2015,45,0
858869,2006,69,11
859456,2009,6,5
859809,2006,27,46
27070184,2014,25,1
27072194,2001,7,0
27072886,2014,21,19
27074488,2011,58,20
27075939,2010,17,10
27076006,2008,0,6
27078805,2010,12,0
2412314,2011,30,12
2412342,2014,26,11
2412529,2014,9,1
2413542,2010,57,35
2414168,2017,37,7
2414478,2008,111,40
2414547,2003,0,31
2415136,2009,37,7
2415181,2007,45,67
2415601,2015,37,34
2415811,2013,37,51
2415874,2013,43,4
2415893,2004,22,16
2416020,2015,56,0
2417039,2012,15,0
2417095,2008,69,136
2417570,2004,38,6
2418864,2015,17,5
2418951,2004,80,139
2419009,2013,2,1
45820012,2009,162,2
45823204,2006,8,0
45826484,2012,5,2
45826852,2005,28,44
157560887,2016,14,0
36640127,2015,2,4
36640359,2012,9,4
36646865,2007,14,13
36648248,2010,4,7
36649356,2017,25,0
206160536,2018,32,3
206160994,2017,36,4
206161249,2017,12,1
206161918,2017,49,7
206161971,2016,54,8
206165354,2016,26,2
206165458,2017,24,2
206165750,2009,28,16
206165927,2017,10,3
206166070,2018,31,2
206168228,2017,22,1
206168647,2018,11,1
59150432,2015,18,0
59152644,2016,134,10
59153185,2014,28,5
59153724,2013,9,7
59154472,2013,16,0
59154910,2012,20,1
59156063,2011,1,0
59156537,2013,89,19
59157478,2010,30,1
59159339,2019,45,0
59159693,2019,36,0
59159769,2019,32,0
59159791,2018,38,0
59159967,2019,45,0
59159986,2019,22,0
42350143,2016,45,0
42351350,2006,44,47
42352986,2003,0,8
42354771,2012,10,16
42355968,2007,8,0
42357576,2011,0,43
42357721,2006,2,1
42357808,2011,4,20
62754285,2013,4,2
470141,2015,104,6
470167,2017,40,17
470479,2015,41,0
471204,2006,45,43
471205,2012,0,1
471302,2003,12,4
471319,2009,9,0
471527,2014,0,6
471576,2013,34,10
471750,2011,16,13
472382,2004,64,57
473853,2010,9,20
473999,2012,13,19
474766,2005,36,12
474985,2005,0,5
475063,2006,63,45
475769,2008,1,0
475853,2017,13,6
476070,2013,29,2
477947,2011,37,4
478526,2011,17,67
478533,2013,19,12
478851,2008,24,7
478882,2005,11,0
479761,2013,36,18
21730569,2018,0,0
21730679,2016,24,0
21731089,2018,43,7
21731249,2018,26,2
21731269,2009,3,5
21733313,2017,12,4
21733330,2017,0,3
21733548,2017,28,2
21733615,2018,7,2
21734499,2018,37,0
21735734,2010,57,26
21736053,2018,31,3
21736298,2008,33,3
21737693,2018,29,1
21739150,2017,32,4
21739173,2015,13,15
21739246,2018,25,1
21739873,2018,51,0
206232443,2009,54,61
206235196,2015,4,0
206237277,2017,35,17
16340813,2007,45,83
16341148,2016,45,0
16342020,2014,35,1
16342057,2013,53,1
16343115,2016,36,13
16343510,2007,7,4
16344414,2016,5,0
16344728,2016,56,7
16344856,2010,20,3
16344910,2012,58,33
16345040,2004,11,6
16345085,2011,36,47
16345583,2015,59,0
16346240,2012,0,22
16346515,2003,0,2
16346862,2011,20,2
16347074,2011,70,157
16347499,2012,12,5
16347850,2014,19,4
16348640,2015,38,4
16348740,2010,29,6
16349142,2014,47,5
37460427,2015,0,0
37462380,2003,0,7
37463504,2007,10,0
37469069,2011,24,69
4940084,2010,47,12
4940165,2018,35,2
4940742,2012,26,5
4941541,2017,21,20
4941571,2011,9,0
4941683,2019,77,4
4942233,2018,42,1
4942363,2018,104,4
4943212,2014,24,14
4943641,2016,33,4
4944236,2011,9,5
4944542,2011,9,11
4944942,2018,46,2
4945048,2018,19,0
4945146,2018,39,2
4945572,2002,1,5
4945602,2018,46,2
4946718,2018,18,0
4946796,2017,32,4
4946989,2018,45,3
4948330,2011,27,2
4948395,2018,36,3
4948907,2018,22,2
4949150,2018,17,2
18830961,2012,33,29
18831003,2016,13,7
18831304,2014,47,21
18831339,2016,41,3
18833032,2010,117,15
18833145,2015,38,19
18833505,2006,1,6
18834120,2011,25,38
18834564,2013,15,25
18834976,2016,67,3
18835391,2016,25,1
18835958,2015,14,0
18836733,2012,46,45
18836977,2006,25,34
18837218,2013,88,11
18837621,2009,26,3
18838351,2005,21,36
18838389,2011,36,6
18838419,2010,7,0
18839262,2015,11,2
18839735,2013,34,4
146362009,2015,7,0
146368179,2015,8,0
146368520,2006,6,6
146369060,2016,28,0
144661786,2009,2,14
144665349,2014,21,4
144666824,2003,0,0
144666969,2005,10,3
205980729,2016,24,35
205981251,2014,56,41
205984895,2017,27,574
205987545,2008,21,140
205989973,2014,0,2
54193236,2012,95,0
54193837,2008,3,1
54194213,2013,13,5
54194887,2007,38,1
54195237,2005,8,123
54196337,2009,32,4
54196493,2006,24,0
54197044,2014,19,0
54198794,2013,22,0
45903814,2005,1,1
45904402,2017,38,6
45905805,2008,21,9
45906733,2008,36,42
45907640,2013,4,0
11820538,2003,3,4
11820694,2007,27,0
11820831,2013,58,3
11821633,2017,12,1
11822028,2010,71,37
11822358,2004,0,0
11822899,2002,0,61
11823198,2004,22,2
11823331,2005,1,1
11823803,2015,27,6
11824104,2004,0,0
11824508,2009,26,2
11825172,2010,27,3
11825738,2010,28,38
11826810,2007,14,0
11826852,2002,15,12
11827375,2012,16,0
11827913,2017,0,0
11828428,2017,34,14
11828474,2006,1,26
11828743,2017,39,23
11828979,2008,0,0
11829439,2010,25,2
25040103,2017,76,1
25040166,2017,88,11
25040357,2002,32,15
25040417,2014,23,2
25042617,2010,0,2
25043074,2013,13,2
25043339,2004,0,24
25043505,2006,18,14
25044329,2001,1,0
25045946,2008,33,27
25046706,2008,16,6
25046761,2002,19,5
25047076,2012,10,2
25047168,2005,14,10
25047751,2017,54,0
25047761,2008,6,6
25049247,2005,54,9
25049275,2012,4,9
25049448,2015,22,3
25049951,2006,0,99
72570254,2012,8,4
72574356,2011,13,0
72575923,2013,14,0
195379964,2019,130,2
120311,2012,37,28
120351,2012,27,9
123714,2003,22,10
123894,2013,41,11
123966,2009,31,26
124171,2017,45,2
124333,2005,42,36
124535,2010,29,3
124639,2014,12,0
124690,2012,77,19
124875,2009,49,132
125305,2019,29,4
125394,2017,20,3
126031,2017,46,0
126387,2011,29,2
126524,2016,30,7
126616,2009,12,8
127359,2010,26,40
127372,2015,12,1
128131,2014,11,2
128580,2014,37,10
129128,2013,18,2
129712,2013,37,0
141672250,2015,0,3
141676464,2015,0,2
141677044,2013,0,2
141678265,2019,5,0
141678847,2014,9,0
24150047,2003,33,175
24150206,2004,4,14
24150292,2010,1,0
24152978,2011,16,0
24153897,2006,0,0
24154305,2006,35,19
24156952,2004,6,3
24157668,2003,44,24
24158238,2017,33,1
24158486,2010,16,2
24158946,2009,18,50
24159799,2013,2,2
152860249,2011,0,2
152862008,2002,0,0
152862013,2014,0,1
152865472,2009,0,0
152866600,2009,30,2
153910679,2012,12,3
153911787,2009,1,2
153913957,2015,17,15
153916431,2014,25,8
153917654,2013,24,6
153919640,2009,4,2
206341736,2011,18,29
206342033,2011,11,3
206345636,2009,0,0
206348115,2018,75,5
206349045,2011,2,3
206349479,2008,0,3
1340055,2012,62,8
1340347,2003,30,14
1340504,2004,25,0
1340654,2014,6,2
1340908,2016,27,9
1341079,2007,46,53
1341871,2011,0,65
1342046,2008,3,1
1343587,2009,25,29
1345283,2009,0,32
1345749,2006,26,10
1345848,2012,1,2
1346589,2014,38,11
1348423,2011,23,95
1348586,2012,3,1
1348926,2009,45,45
1349490,2009,38,21
1349985,2010,34,3
142785462,2015,2,0
142787781,2014,23,2
142787894,2014,4,0
195745354,2019,60,0
195747334,2019,30,0
76032727,2003,0,0
76033725,2007,0,3
3150020,2010,7,0
3150566,2010,27,2
3150810,2014,24,0
3150934,2008,41,26
3151583,2016,59,4
3151599,2008,33,7
3151719,2016,70,11
3152899,2012,20,24
3153098,2017,52,31
3153140,2012,2,1
3153144,2008,12,3
3153809,2009,14,0
3153950,2016,26,26
3153980,2008,40,15
3154387,2015,39,0
3154575,2007,31,12
3154582,2008,12,7
3154888,2007,39,1
3155028,2001,17,17
3155391,2016,8,3
3155678,2017,11,3
3155826,2007,3,16
3155962,2001,31,10
3157143,2012,57,11
3157351,2008,63,10
3157399,2009,40,110
3157525,2003,44,0
3157701,2014,20,5
3158340,2016,7,11
3158611,2008,40,13
3158630,2001,12,2
3158928,2016,36,0
3159038,2004,23,181
3159138,2006,4,1
3159952,2015,33,7
3159973,2016,1,1
2550610,2013,28,1
2550953,2017,84,0
2551359,2015,60,18
2552685,2014,31,0
