"iso2c","iso3c","country","date","IP.JRN.ARTC.SC","unit","obs_status","footnote","last_updated","papers","capital_city","longitude","latitude","region_iso3c","region_iso2c","region","admin_region_iso3c","admin_region_iso2c","admin_region","income_level_iso3c","income_level_iso2c","income_level","lending_type_iso3c","lending_type_iso2c","lending_type","papers_estimate","papers_estimate_3yr","data_papers","data_papers_estimate","data_papers_estimate_3yr","data_papers_3yr","data_papers_nomed","data_papers_nomed_estimate","data_papers_nomed_estimate_3yr","data_papers_nomed_3yr","data_papers_Medicine","data_papers_Business","data_papers_Economics","data_papers_Psychology","data_papers_Sociology","data_papers_Political Science","data_papers_3yr_Medicine","data_papers_3yr_Business","data_papers_3yr_Economics","data_papers_3yr_Psychology","data_papers_3yr_Sociology","data_papers_3yr_Political Science","BN.CAB.XOKA.GD.ZS","BX.KLT.DINV.WD.GD.ZS","CC.EST","GE.EST","HD.HCI.LAYS","HD.HCI.OVRL","IQ.SCI.OVRL","IQ.SPI.OVRL","IQ.SPI.PIL1","IQ.SPI.PIL2","IQ.SPI.PIL3","IQ.SPI.PIL4","IQ.SPI.PIL5","NE.TRD.GNFS.ZS","NV.AGR.TOTL.ZS","NV.IND.MANF.ZS","NY.GDP.MKTP.PP.KD","NY.GDP.PCAP.PP.KD","PV.EST","RL.EST","RQ.EST","SE.PRM.ENRR","SE.TER.CUAT.MS.ZS","SE.TER.ENRR","SI.POV.DDAY","SI.POV.GINI","SP.POP.TOTL","VA.EST","SP.POP.TOTL_imp_tag","NY.GDP.MKTP.PP.KD_imp_tag","IQ.SPI.OVRL_imp_tag","NY.GDP.PCAP.PP.KD_imp_tag","IQ.SPI.PIL1_imp_tag","IQ.SPI.PIL2_imp_tag","IQ.SPI.PIL3_imp_tag","IQ.SPI.PIL4_imp_tag","IQ.SPI.PIL5_imp_tag","IQ.SCI.OVRL_imp_tag","NV.IND.MANF.ZS_imp_tag","NV.AGR.TOTL.ZS_imp_tag","NE.TRD.GNFS.ZS_imp_tag","HD.HCI.OVRL_imp_tag","HD.HCI.LAYS_imp_tag","SE.PRM.ENRR_imp_tag","BN.CAB.XOKA.GD.ZS_imp_tag","CC.EST_imp_tag","GE.EST_imp_tag","PV.EST_imp_tag","RQ.EST_imp_tag","RL.EST_imp_tag","VA.EST_imp_tag","BX.KLT.DINV.WD.GD.ZS_imp_tag","SI.POV.DDAY_imp_tag","SI.POV.GINI_imp_tag","SE.TER.CUAT.MS.ZS_imp_tag","SE.TER.ENRR_imp_tag","WGI.OVL","SPI.INDEX.PIL1","SPI.INDEX.PIL2","SPI.INDEX.PIL3","SPI.INDEX.PIL4","SPI.INDEX.PIL5","SPI.INDEX","SPI.DIM1.5.INDEX","SPI.DIM2.1.INDEX","SPI.DIM2.2.INDEX","SPI.DIM2.4.INDEX","SPI.DIM3.1.INDEX","SPI.DIM3.2.INDEX","SPI.DIM3.3.INDEX","SPI.DIM3.4.INDEX","SPI.DIM4.1.CEN.INDEX","SPI.DIM4.1.SVY.INDEX","SPI.DIM4.2.INDEX","SPI.DIM4.3.INDEX","SPI.DIM5.1.INDEX","SPI.DIM5.2.INDEX","SPI.DIM5.5.INDEX","SPI.D1.5.POV","SPI.D1.5.CHLD.MORT","SPI.D1.5.DT.TDS.DPPF.XP.ZS","SPI.D1.5.SAFE.MAN.WATER","SPI.D1.5.LFP","SPI.D2.1.GDDS","SPI.D2.2.Machine.readable","SPI.D2.2.Non.proprietary","SPI.D2.2.Download.options","SPI.D2.2.Metadata.available","SPI.D2.2.Terms.of.use","SPI.D2.2.Openness.subscore","SPI.D2.4.NADA","SPI.D3.1.POV","SPI.D3.2.HNGR","SPI.D3.3.HLTH","SPI.D3.4.EDUC","SPI.D3.5.GEND","SPI.D3.6.WTRS","SPI.D3.7.ENRG","SPI.D3.8.WORK","SPI.D3.9.INDY","SPI.D3.10.NEQL","SPI.D3.11.CITY","SPI.D3.12.CNSP","SPI.D3.13.CLMT","SPI.D3.15.LAND","SPI.D3.16.INST","SPI.D3.17.PTNS","SPI.D4.1.1.POPU","SPI.D4.1.2.AGRI","SPI.D4.1.3.BIZZ","SPI.D4.1.4.HOUS","SPI.D4.1.5.AGSVY","SPI.D4.1.6.LABR","SPI.D4.1.7.HLTH","SPI.D4.1.8.BZSVY","SPI.D4.2.3.CRVS","SPI.D4.3.GEO.first.admin.level","SPI.D5.1.DILG","SPI.D5.2.1.SNAU","SPI.D5.2.2.NABY","SPI.D5.2.3.CNIN","SPI.D5.2.4.CPIBY","SPI.D5.2.5.HOUS","SPI.D5.2.6.EMPL","SPI.D5.2.7.CGOV","SPI.D5.2.8.FINA","SPI.D5.2.9.MONY","SPI.D5.2.10.GSBP","SPI.D5.5.DIFI"
"EG","EGY","Egypt, Arab Rep.",2018,12944.42,NA,NA,NA,"2023-10-26",79,"Cairo",31.2461,30.0982,"MEA","ZQ","Middle East & North Africa","MNA","XQ","Middle East & North Africa (excluding high income)","LMC","XN","Lower middle income","IBD","XF","IBRD",718.1818181818181,751.5151515151515,68,618.1818181818181,624.2424242424242,68.66666666666667,17,154.54545454545453,157.57575757575756,17.333333333333332,51,5,9,1,1,1,51.333333333333336,4.333333333333333,7.333333333333333,1.6666666666666667,1.3333333333333333,2.6666666666666665,-2.93164483711979,3.10040077579187,-0.514392554759979,-0.45396289229393,6.50456809997559,0.492512345314026,86.6666666666667,74.545,100,76.8,79.175,56.75,60,45.9110196733959,10.8302490249025,16.3508895889589,1178839304390.02,11363.3180205488,-1.18810069561005,-0.30214911699295,-0.804274797439575,96.5830383300781,0.692979991436005,36.7171516418457,2.5,31.5,103740765,-1.32480442523956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-0.7646140803893408,100,76.8,79.17500000000001,56.75,60,74.545,1,1,0.304,1,0.8335,0.7221666666666666,0.9445,0.7225,0.5,0.6,1,0.17,-99,0.6,-99,1,1,1,1,1,1,0.05599999999999999,0.8959999999999999,0.128,0.439,0,0.304,1,1,0.889,0.952,0.636,0.857,0.667,0.933,0.75,0.75,0.6,0.8,0.5,1,0.889,0.778,0.667,0.5,1,0,1,0,1,1,0,1,0.17,NA,0.5,0.5,1,0.5,1,0,0,0.5,1,1,NA
"ER","ERI","Eritrea",2018,22.72,NA,NA,NA,"2023-10-26",7,"Asmara",38.9183,15.3315,"SSF","ZG","Sub-Saharan Africa","SSA","ZF","Sub-Saharan Africa (excluding high income)","LIC","XM","Low income","IDX","XI","IDA",63.63636363636363,30.3030303030303,6,54.54545454545455,24.242424242424246,2.6666666666666665,0,0,3.0303030303030307,0.3333333333333333,6,0,0,0,0,0,2.3333333333333335,0.3333333333333333,0,0,0,0,-14.8161574838645,1.8886183675912,-1.32192349433899,-1.76824188232422,NA,NA,27.7777666666667,NA,6.6,NA,37.44375,NA,10,47.3937901188684,14.1242274354984,5.49275511380493,NA,NA,-0.609398245811462,-1.62014710903168,-2.19343161582947,72.8195419311523,NA,3.00972008705139,NA,NA,3445374,-2.18433403968811,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,-1.6162460645039884,6.6000000000000005,NA,37.44375000000001,NA,10,NA,0.066,0,NA,0,0.3765,0.39233333333333337,0.4445,0.2445,0,0,0,NA,-99,0.1,-99,0,0,0.33,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.429,0.65,0.455,0.125,0.6,0.8,0.154,0.333,0.4,0.167,0.5,0,0.889,0.222,0.267,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,NA
"ES","ESP","Spain",2018,56322.49,NA,NA,NA,"2023-10-26",239,"Madrid",-3.70327,40.4167,"ECS","Z7","Europe & Central Asia",NA,NA,NA,"HIC","XD","High income","LNX","XX","Not classified",2172.7272727272725,2239.3939393939395,213,1936.3636363636363,2000,220,49,445.45454545454544,539.3939393939394,59.333333333333336,164,4,29,6,8,2,160.66666666666666,7.666666666666667,31.666666666666668,8,8.666666666666666,3.3333333333333335,1.8626648318715,4.12365956451036,0.612849295139313,0.969287812709808,10.6629648208618,0.736156404018402,NA,87.8454166666667,100,90.8666666666666,75.49375,77.8666666666667,95,67.5749402546311,2.75621978985911,11.0268727483866,1884868840138.08,40276.9081639705,0.275779157876968,0.978212118148804,0.93815416097641,102.638717651367,12.924280166626,92.1748886108398,0.8,34.7,46797754,1.02965259552002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8006558567285538,100,90.86666666666665,75.49375,77.86666666666666,95,87.84541666666665,1,1,0.726,1,0.7111666666666667,0.7741666666666667,1,0.5835,0.6666666666666666,1,1,0.4479999999999999,1,0.95,1,1,1,1,1,1,1,0.802,0.981,0.629,0.777,0.439,0.726,1,0.857,0.8,0.857,0.545,0.375,0.833,0.8,0.833,1,0.429,0.833,0.75,1,1,0.667,0.5,1,1,0,1,1,1,1,1,1,0.4479999999999999,1,1,1,1,0.5,1,1,1,1,1,1,1
"EE","EST","Estonia",2018,1476.89,NA,NA,NA,"2023-10-26",20,"Tallinn",24.7586,59.4392,"ECS","Z7","Europe & Central Asia",NA,NA,NA,"HIC","XD","High income","LNX","XX","Not classified",181.8181818181818,266.66666666666663,15,136.36363636363637,209.0909090909091,23,8,72.72727272727273,115.15151515151514,12.666666666666666,7,3,2,1,0,2,10.333333333333334,3,4,1.3333333333333333,2,2.3333333333333335,0.88654121246731,4.02406402395412,1.46872520446777,1.15059268474579,11.6930065155029,0.774125277996063,77.7778,86.755,100,93.9333333333333,70.9,68.9416666666667,100,145.920296083136,2.08940044213798,13.4718274316818,46242579702.4185,34979.8670494407,0.580257713794708,1.20360350608826,1.54483294487,97.4559478759766,21.2413291931152,72.0659637451172,0.2,30.3,1321977,1.19011688232422,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.1896881560484582,100,93.93333333333332,70.9,68.94166666666666,100,86.75500000000001,1,1,0.818,1,0.7461666666666666,0.7445,0.639,0.561,0.6666666666666666,0.866,1,0.225,1,1,1,1,1,1,1,1,1,0.963,0.963,0.769,0.963,0.434,0.818,1,0.857,0.8,0.9,0.545,0.375,1,0.8,0.75,1,0.5,0.667,0.75,0.5,0.778,0.667,0.455,1,1,0,1,1,1,0.33,1,1,0.225,1,1,1,1,1,1,1,1,1,1,1,1
"ET","ETH","Ethiopia",2018,2055.59,NA,NA,NA,"2023-10-26",177,"Addis Ababa",38.7468,9.02274,"SSF","ZG","Sub-Saharan Africa","SSA","ZF","Sub-Saharan Africa (excluding high income)","LIC","XM","Low income","IDX","XI","IDA",1609.090909090909,1348.4848484848483,159,1445.4545454545455,1218.1818181818182,134,45,409.09090909090907,327.27272727272725,36,114,14,17,6,4,4,98,9.666666666666666,16,4.666666666666667,2.3333333333333335,3.3333333333333335,-5.47209886121223,3.98771973876467,-0.504966139793396,-0.666772186756134,4.48869943618774,0.384100586175919,62.2222333333333,53.5929166666667,90,59.9666666666666,71.38125,31.6166666666667,15,31.199374943469,31.2188007841387,5.8276168447099,229755278555.775,2067.45649659251,-1.27457964420319,-0.445004612207413,-0.984722435474396,97.5089950561523,NA,10.3819236755371,27,35,111129438,-1.16190242767334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-0.839657907684645,90,59.966666666666654,71.38124999999998,31.616666666666664,15,53.59291666666667,0.9,0.5,0.299,1,0.7815,0.6033333333333334,0.9445,0.6115,0.16666666666666666,0.934,0,0.16399999999999998,-99,0.15,-99,0.5,1,1,1,1,0.5,0,0.726,0.273,0.494,0,0.299,1,1,0.9,0.8,0.364,0.625,1,0.933,0.231,0.556,0.6,0.8,0.5,1,0.889,0.556,0.667,0.5,0,0,1,1,1,0.67,1,0,0.16399999999999998,NA,0.5,0.5,0,0,0,0,0,0.5,0,0,NA
"FI","FIN","Finland",2018,10848.8,NA,NA,NA,"2023-10-26",101,"Helsinki",24.9525,60.1608,"ECS","Z7","Europe & Central Asia",NA,NA,NA,"HIC","XD","High income","LNX","XX","Not classified",918.1818181818181,963.6363636363636,87,790.9090909090909,845.4545454545455,93,27,245.45454545454547,248.4848484848485,27.333333333333332,60,3,10,2,10,2,65.66666666666667,2.6666666666666665,12.333333333333334,2.6666666666666665,6.333333333333333,3.3333333333333335,-1.87108538808628,-3.83438230194283,2.17132115364075,2.0138726234436,12.04758644104,0.814484000205994,NA,88.7175,100,94.9333333333333,76.4375,72.2166666666667,100,78.1921683186129,2.38668391429869,14.5942380344553,265012838732.94,48048.5246160501,0.891700327396393,2.0346474647522,1.77911019325256,99.7032012939453,11.9063501358032,92.3850021362305,0.1,27.3,5515525,1.58888149261475,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.7465888758500423,100,94.93333333333332,76.43749999999999,72.36666666666667,100,88.7475,1,1,0.848,1,0.7126666666666667,0.7978333333333333,1,0.5835,0.6666666666666666,0.8,1,0.428,1,1,1,1,1,1,1,1,1,0.8590000000000001,0.963,0.6890000000000001,0.897,0.8340000000000001,0.848,1,1,0.7,0.857,0.6,0.286,0.833,0.8,0.833,1,0.571,0.833,0.75,1,1,0.667,0.5,1,1,0,1,0.67,1,0.33,1,1,0.428,1,1,1,1,1,1,1,1,1,1,1,1
"FJ","FJI","Fiji",2018,159.49,NA,NA,NA,"2023-10-26",12,"Suva",178.399,-18.1149,"EAS","Z4","East Asia & Pacific","EAP","4E","East Asia & Pacific (excluding high income)","UMC","XT","Upper middle income","IDB","XH","Blend",109.0909090909091,133.33333333333334,7,63.63636363636363,100,11,1,9.090909090909092,27.272727272727277,3,6,1,0,0,0,0,8,0.6666666666666666,0.6666666666666666,0,1.6666666666666667,0,-8.4472976004249,8.40038033354671,0.699863374233246,0.774844706058502,6.95113611221313,0.508573293685913,65.5555666666667,58.14125,80,59.5,54.80625,46.4,50,103.235419948556,10.9065639753696,10.3875801425299,12232909168.4617,13311.1669348525,0.833207309246063,0.17677891254425,0.0395447723567486,103.447242736816,1.07687997817993,14.4126501083374,0.4,36.7,918996,0.147889748215675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.4453548037757475,80,59.5,54.80625,46.400000000000006,50,58.14125,0.8,0.5,0.285,1,0.5233333333333333,0.5028333333333334,0.6945,0.6115,0.5,0.334,1,0.022,-99,0.5,-99,0.5,1,1,0.5,1,0.5,0.19,0.649,0.311,0.27699999999999997,0,0.285,1,0.571,0.444,0.81,0.273,0.375,0.667,0.867,0.417,0.333,0.4,0.5,0.5,0.5,0.889,0.556,0.667,0.5,1,0,1,0,0.67,0,0,1,0.022,NA,1,0.5,1,0.5,1,0,0,0,1,0,NA
"FR","FRA","France",2018,67682.67,NA,NA,NA,"2023-10-26",214,"Paris",2.35097,48.8566,"ECS","Z7","Europe & Central Asia",NA,NA,NA,"HIC","XD","High income","LNX","XX","Not classified",1945.4545454545455,2109.090909090909,182,1654.5454545454545,1718.181818181818,189,34,309.09090909090907,412.12121212121207,45.333333333333336,148,9,15,3,4,3,143.66666666666666,6,25.666666666666668,3.6666666666666665,4.333333333333333,5.666666666666667,-0.873698957960523,2.7765781436236,1.28164064884186,1.4197963476181,11.1728496551514,0.755960285663605,NA,86.6070833333333,100,90.8,75.59375,66.6416666666667,100,64.437952596913,1.64887661606241,9.97175143633537,3038643985600.27,45245.9608684875,0.0137935001403093,1.39610087871552,1.1474986076355,102.464408874512,9.49569988250732,67.5435180664062,0,32.4,67158348,1.15723478794098,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0693441284820449,100,90.8,75.59375,67.71666666666667,100,86.82208333333332,1,1,0.7240000000000001,1,0.7213333333333334,0.7741666666666667,1,0.561,0.6666666666666666,0.934,1,0.108,1,1,1,1,1,1,1,1,1,0.708,0.614,0.472,0.858,0.967,0.7240000000000001,1,1,0.8,0.9,0.545,0.25,0.833,0.8,0.833,1,0.429,0.833,0.75,1,1,0.667,0.455,1,1,0,1,1,1,0.67,1,1,0.108,1,1,1,1,1,1,1,1,1,1,1,1
"FO","FRO","Faroe Islands",2018,NA,NA,NA,NA,"2023-10-26",0,"Torshavn",-6.91181,61.8926,"ECS","Z7","Europe & Central Asia",NA,NA,NA,"HIC","XD","High income","LNX","XX","Not classified",0,3.0303030303030307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75436925469183,NA,NA,NA,NA,NA,NA,NA,60,NA,10.71875,NA,NA,106.874168106959,16.3200031785764,5.61664382064883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50955,NA,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,NA,10.71875,NA,NA,NA,0.6,0,NA,NA,0.05616666666666667,0.08516666666666667,0.278,0.1555,NA,NA,1,NA,-99,NA,-99,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.125,0.045,0,0,0.167,0.4,0,0.111,0,0,0,0,0.556,0.111,0.2,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FM","FSM","Micronesia, Fed. Sts.",2018,4.37,NA,NA,NA,"2023-10-26",2,"Palikir",158.185,6.91771,"EAS","Z4","East Asia & Pacific","EAP","4E","East Asia & Pacific (excluding high income)","LMC","XN","Lower middle income","IDX","XI","IDA",18.181818181818183,27.27272727272727,2,18.181818181818183,21.212121212121215,2.3333333333333335,0,0,0,0,2,0,0,0,0,0,2.3333333333333335,0,0,0,0,0,7.01835931333612,6.32982242056283,0.672230362892151,0.163868218660355,6.20339441299438,0.466416776180267,42.2222333333333,24.4558333333333,20,25.6333333333333,44.8625,16.7833333333333,15,100.851461800905,22.5121991937448,0.492371476489946,389796316.091086,3513.92616981209,1.31512069702148,0.0350411422550678,-0.923807919025421,97.8398284912109,NA,13.3721399307251,16,40.1,110929,1.12343680858612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0.3976482183982921,20,25.63333333333333,44.86250000000001,16.783333333333335,15,24.455833333333334,0.2,0.5,0.26899999999999996,0,0.4018333333333333,0.4665,0.6945,0.2895,0.3333333333333333,0.134,0,0.204,-99,0.15,-99,0,0,0,1,0,0.5,0.331,0.53,0.241,0.241,0,0.26899999999999996,0,0.286,0.286,0.524,0.273,0.375,0.667,0.8,0.333,0.333,0.333,0.5,0.5,0.5,0.889,0.222,0.357,1,0,0,0.67,0,0,0,0,0,0.204,NA,0.5,0,0,0,1,0,0,0,0,0,NA
"GA","GAB","Gabon",2018,61.04,NA,NA,NA,"2023-10-26",3,"Libreville",9.45162,0.38832,"SSF","ZG","Sub-Saharan Africa","SSA","ZF","Sub-Saharan Africa (excluding high income)","UMC","XT","Upper middle income","IBD","XF","IBRD",27.272727272727273,27.27272727272727,3,27.272727272727273,24.242424242424246,2.6666666666666665,0,0,3.0303030303030307,0.3333333333333333,3,0,0,0,0,0,2.3333333333333335,0,0,0.3333333333333333,0,0,0.980288664780004,8.17598938908991,-0.858977615833282,-0.826392531394959,6.02492713928223,0.456387877464294,36.6666333333333,27.5720833333333,40,23.7333333333333,40.84375,13.2833333333333,20,77.0365976973024,5.43595280305822,18.9415576135283,31245951093.8624,14254.4616972272,-0.257414042949677,-0.720236599445343,-0.889868915081024,130.165969848633,NA,7.67232990264893,2.5,38,2192012,-0.961687982082367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,-0.7524296144644419,40,23.73333333333333,40.84375000000001,13.283333333333331,20,27.572083333333342,0.4,0.5,0.212,0,0.4076666666666667,0.4176666666666667,0.389,0.4025,0.3333333333333333,0.198,0,0,-99,0.2,-99,0,0,1,1,0,0.5,0.14300000000000002,0.422,0.247,0.247,0,0.212,0,0.429,0.444,0.524,0.091,0.125,0.833,0.8,0.231,0.375,0.4,0.2,0.5,0,0.778,0.222,0.583,1,0,0,0.33,0,0.33,0.33,0,0,0,NA,0.5,0,0.5,0,0,0,0,0,1,0,NA
"GB","GBR","United Kingdom",2018,100600.79,NA,NA,NA,"2023-10-26",336,"London",-0.126236,51.5002,"ECS","Z7","Europe & Central Asia",NA,NA,NA,"HIC","XD","High income","LNX","XX","Not classified",3054.5454545454545,3042.4242424242425,270,2454.5454545454545,2269.6969696969695,249.66666666666666,50,454.54545454545456,560.6060606060606,61.666666666666664,220,7,14,11,10,8,188,7,25.666666666666668,9.333333333333334,12,7.666666666666667,-4.06481853736583,-0.870539117616634,1.8065721988678,1.36168932914734,11.4572772979736,0.776982247829437,NA,83.3045833333333,100,86.8,74.78125,64.9416666666667,90,63.9997960517472,0.566929790813985,8.82873445473971,3097509096126.43,46606.8772699466,0.07756457477808,1.60294651985168,1.76942324638367,99.2638092041016,11.9904203414917,61.6712989807129,0.5,33.7,66460344,1.38167774677277,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3333122693002235,100,86.79999999999998,74.78125000000001,66.01666666666667,90,83.51958333333333,1,1,0.604,1,0.717,0.7753333333333333,1,0.5055000000000001,0.6666666666666666,0.866,1,0.108,1,0.9,1,1,1,1,1,1,1,0.775,0.384,0.35,0.738,0.775,0.604,1,0.857,0.8,0.857,0.455,0.5,0.833,0.8,0.769,1,0.5,0.833,0.75,1,1,0.556,0.455,1,1,0,1,1,1,0.33,1,1,0.108,1,1,1,1,1,1,1,1,1,0,1,1
"GE","GEO","Georgia",2018,558.59,NA,NA,NA,"2023-10-26",43,"Tbilisi",44.793,41.71,"ECS","Z7","Europe & Central Asia","ECA","7E","Europe & Central Asia (excluding high income)","UMC","XT","Upper middle income","IBD","XF","IBRD",390.90909090909093,345.4545454545455,34,309.09090909090907,272.7272727272727,30,6,54.54545454545455,60.606060606060616,6.666666666666667,28,2,2,2,0,0,23.333333333333332,1.3333333333333333,2,1.6666666666666667,0.6666666666666666,1,-6.77511118156189,7.41576486627716,0.724707186222076,0.518160223960876,9.15319538116455,0.609057724475861,87.7778,75.44625,100,86.4666666666667,73.98125,51.7833333333333,65,111.755539312188,6.76219859459993,8.83442378148585,53116027002.7883,14253.4089858441,-0.447616845369339,0.270468592643738,1.03199064731598,101.231880187988,27.1470394134521,66.0417785644531,5.6,36.4,3726549,0.228967398405075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3877795338630676,100,86.46666666666667,73.98125,51.78333333333334,65,75.44625,1,1,0.594,1,0.7561666666666667,0.6695,0.9445,0.6970000000000001,0.3333333333333333,0.6,1,0.138,-99,0.65,-99,1,1,1,1,1,1,0.73,0.919,0.606,0.713,0,0.594,1,1,0.667,0.95,0.545,0.375,1,0.933,0.5,0.667,0.75,0.667,0.5,1,0.889,0.667,0.727,1,0,0,1,0.33,1,0.67,0,1,0.138,NA,0.5,0,0.5,0.5,1,1,0.5,0.5,1,1,NA
"GH","GHA","Ghana",2018,1318.29,NA,NA,NA,"2023-10-26",136,"Accra",-0.20795,5.57045,"SSF","ZG","Sub-Saharan Africa","SSA","ZF","Sub-Saharan Africa (excluding high income)","LMC","XN","Lower middle income","IDX","XI","IDA",1236.3636363636363,1103.030303030303,127,1154.5454545454545,1027.2727272727273,113,46,418.1818181818182,409.09090909090907,45,81,19,15,7,4,1,68,14.333333333333334,19.666666666666668,5.333333333333333,3.6666666666666665,2,-3.03807912917595,4.44143127036742,-0.138242349028587,-0.319894850254059,5.82693195343018,0.443490087985992,77.7778,60.1733333333334,100,61.2666666666667,66,33.6,40,67.9585183453884,18.1365505543433,10.1201334662307,158219737029.55,5125.24948962186,-0.0367385223507881,0.05157820135355,-0.141936391592026,97.3151168823242,NA,16.0154399871826,25.2,43.5,30870641,0.558498740196228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-0.00445586194594703,100,61.266666666666666,65.99999999999999,33.6,40,60.173333333333346,1,0.5,0.33799999999999997,1,0.7138333333333333,0.6295000000000001,0.6945,0.5555,0.5,0.534,0,0.31,-99,0.4,-99,1,1,1,1,1,0.5,0.16699999999999998,0.867,0.206,0.452,0,0.33799999999999997,1,0.857,0.667,0.714,0.545,0.5,1,0.933,0.5,0.444,0.6,0.8,0.5,0.5,0.889,0.444,0.667,1,0,0.5,1,0,0.67,1,0,0,0.31,NA,0.5,0,1,0,1,0,0.5,0,1,0,NA
"GI","GIB","Gibraltar",2018,NA,NA,NA,NA,"2023-10-26",4,NA,NA,NA,"ECS","Z7","Europe & Central Asia",NA,NA,NA,"HIC","XD","High income","LNX","XX","Not classified",36.36363636363637,24.242424242424246,3,27.272727272727273,18.181818181818183,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,12.13125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.121406555176,NA,NA,NA,NA,32648,NA,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,NA,12.13125,NA,NA,NA,0.6,0,NA,NA,0.12366666666666667,0.10366666666666668,0.1665,0.122,NA,NA,1,NA,-99,NA,-99,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0.045,0.364,0,0.333,0.4,0,0.222,0,0,0,0,0.333,0.111,0.133,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GN","GIN","Guinea",2018,25.91,NA,NA,NA,"2023-10-26",12,"Conakry",-13.7,9.51667,"SSF","ZG","Sub-Saharan Africa","SSA","ZF","Sub-Saharan Africa (excluding high income)","LMC","XN","Lower middle income","IDX","XI","IDA",109.0909090909091,157.5757575757576,12,109.0909090909091,145.45454545454547,16,3,27.272727272727273,12.121212121212123,1.3333333333333333,9,0,1,1,0,1,14.666666666666666,0,0.6666666666666666,0.3333333333333333,0,0.3333333333333333,-1.60638873405255,2.97511256273627,-1.05975413322449,-1.02534222602844,4.61190462112427,0.369082599878311,55.5555666666667,39.9679166666667,56.6,61.4,55.93125,20.9083333333333,5,88.9841115436995,22.9400092652235,12.0732499470986,31032095919.6998,2471.71900226875,-0.880607545375824,-1.23089265823364,-0.806409239768982,100.92000579834,2.44707989692688,7.59974813461304,13.8,29.6,12554864,-0.768330097198486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9618893166383103,56.60000000000001,61.4,55.93125000000001,20.908333333333335,5,39.967916666666675,0.5660000000000001,0.5,0.342,1,0.5705,0.4646666666666667,0.6945,0.6745,0.3333333333333333,0.334,0,0.16899999999999998,-99,0.05,-99,0.5,1,0.33,1,0,0.5,0,0.933,0.311,0.467,0,0.342,1,0.286,0.625,0.667,0.545,0.5,0.8,0.933,0.333,0.222,0.4,0.4,0.5,0.5,0.889,0.778,0.571,1,0,0,0.67,0,0,1,0,0,0.16899999999999998,NA,0.5,0,0,0,0,0,0,0,0,0,NA
